Question,Predicted Answer,Actual Answer
What color is the grass?,Green,Green
What color is the sky?,Blue,Blue
Is the horse black?,Yes,Yes
Is the grass green?,Yes,Yes
Are the trees green?,Yes,Yes
How many horse in image?,1,2
Are there any horse in image?,Yes,Yes
How many handbag in image?,0,0
Are there any boat in image?,No,No
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
How many zebra in image?,0,0
How many remote in image?,0,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Are there any sports ball in image?,No,No
Are there any sandwich in image?,No,No
Where is the horse?,Left,Left
Where is the dead tree?,Left,Right
Is the horse in behind of the big tree?,No,No
Is the dead tree located on the left side of the image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many keyboard in image?,0,0
How many train in image?,1,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Are there any carrot in image?,No,No
Are there any bed in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any skis in image?,No,No
How many donut in image?,0,0
Where is the first carriage located?,Left,Left
Is one of the carriages closer to the bridge than the other carriage?,Yes,Yes
What color are the wheels on the carriage?,Black,Orange
What is the color of the roof tiles?,Brown,Brown
What is the color of the lamp post?,White,Black
Are the wheels on the carriages orange?,Yes,Yes
Is the pavement green and white?,No,No
Are the lamp posts black?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many cell phone in image?,1,1
Are there any cell phone in image?,No,Yes
How many vase in image?,1,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any kite in image?,No,No
Are there any bowl in image?,Yes,No
Are there any broccoli in image?,No,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,0
How many cow in image?,1,1
Are there any cow in image?,No,Yes
Are there any kite in image?,No,No
Are there any pizza in image?,No,No
Are there any donut in image?,No,No
How many microwave in image?,0,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
How many backpack in image?,0,0
Are there any kite in image?,No,No
Where is the hay net?,Left,Right
Where is the horse relative to the fence?,Behind,Behind
Is the horse front the fence?,No,No
Is the horse in behind of the hay net?,No,No
What color is the horse's coat?,Brown,Brown
What color is the metal bar?,Black,Brown
What color is the clip?,Black,Blue
Is the clip blue?,Yes,Yes
Is the metal bar brown?,Yes,Yes
Is the rope black?,Yes,Yes
How many cat in image?,1,1
Are there any cat in image?,Yes,Yes
What is the name of the object in the image?,person,cat
How many bowl in image?,1,0
How many donut in image?,0,0
How many remote in image?,0,0
Where is the horse relative to the fence?,Behind,Behind
Where are the branches relative to the sky?,Above,Below
What is the color of the horse's mane?,Black,Black
What color is the wooden fence?,Brown,Brown
Is the horse's mane black?,Yes,Yes
Is the fence brown?,Yes,Yes
Is the sky blue?,Yes,Yes
How many person in image?,1,8
Are there any person in image?,Yes,Yes
Are there any bicycle in image?,Yes,No
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
Are there any skis in image?,No,No
Are there any skateboard in image?,No,No
How many cup in image?,1,0
How many fork in image?,1,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many motorcycle in image?,1,0
How many tennis racket in image?,0,0
Are there any donut in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any handbag in image?,No,No
Are there any wine glass in image?,Yes,No
Are there any bed in image?,No,No
Are there any cell phone in image?,No,No
Are there any oven in image?,No,No
How many person in image?,1,6
Are there any person in image?,Yes,Yes
How many fire hydrant in image?,0,0
Are there any dog in image?,Yes,No
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any cow in image?,No,No
How many chair in image?,1,2
Are there any chair in image?,Yes,Yes
What color is the helmet?,Black,Blue
What color are the horses?,Brown,Brown
What color is the jacket of the person on the right?,Blue,Green
What color is the helmet of the person on the horse?,Black,Yes
Are the horses brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Is the saddle on the horse?,Yes,Yes
Is the woman in behind of the horse?,No,No
Is the gate front the horse?,No,No
What color is the woman's dress?,Black,White
What color is the woman's skirt?,Black,White
What color is the horse?,Brown,Black
Is the flower on the woman's head red?,Yes,Yes
Is the horse black?,Yes,Yes
Is the woman's skirt white?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many umbrella in image?,0,1
Are there any umbrella in image?,No,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many banana in image?,0,0
Are there any hot dog in image?,No,No
Are there any cell phone in image?,No,No
Are there any hair drier in image?,No,No
What is the location of the horse relative to the building?,Front,Front
What is the location of the building relative to the sky?,Below,Below
Is the building next to the building?,Yes,Yes
Is the building next to the road?,Yes,Yes
What color is the horse's hair?,Brown,White
What color are the wheels?,Black,White
What color are the stripes on the road?,White,White
Is the horse white?,Yes,Yes
Are the wheels of the carriage white?,Yes,Yes
Are the stripes on the road white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many snowboard in image?,0,0
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many bird in image?,1,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many cake in image?,1,0
Are there any microwave in image?,No,No
How many clock in image?,1,1
Are there any clock in image?,Yes,Yes
Where is the bird located?,Above,Left
Where is the leaves located?,Above,Above
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bottle in image?,Yes,No
Are there any fork in image?,Yes,No
How many person in image?,1,3
Are there any person in image?,Yes,Yes
Are there any train in image?,No,No
Are there any truck in image?,Yes,No
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any suitcase in image?,No,No
Are there any hair drier in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
Are there any skateboard in image?,No,No
Are there any hair drier in image?,No,No
Where is the tower?,Behind,Behind
Is there a fence in behind of the statue?,No,No
Is the fence between the viewer and the building?,Yes,Yes
What color is the horse in the statue?,Brown,Black
What color is the grass?,Green,Green
What color are the window frames?,White,Brown
Is the horse in the statue black?,Yes,Yes
Is the grass green?,Yes,Yes
Is the fence black?,Yes,Yes
How many bench in image?,0,0
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Where is the horse relative to the rocks?,Front,Front
Is the horse in behind of the rock?,No,No
What color is the horse?,Brown,Black
What color is the hair of the horse?,Brown,Brown
Is the animal black?,Yes,Yes
Are the rocks gray?,Yes,Yes
Is the hair of the animal brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
How many wine glass in image?,1,0
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many umbrella in image?,0,0
Are there any toaster in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bird in image?,Yes,No
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
How many sports ball in image?,0,0
Are there any couch in image?,No,No
What is the location of the shields relative to the horse statue?,Behind,Right
What is the placement of the statue relative to the clouds?,Above,Below
Are the spears front the statue?,No,No
Is the statue on a base?,Yes,Yes
Are the shields located to the left of the statue?,No,No
Is the sky white?,Yes,No
Is the statue grey?,Yes,Yes
Is the base of statue black?,Yes,Yes
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Are there any zebra in image?,No,No
Are there any sports ball in image?,No,No
Are there any oven in image?,No,No
How many horse in image?,1,1
Are there any horse in image?,Yes,Yes
What is the name of the object in the image?,person,horse
Are there any snowboard in image?,No,No
Are there any bowl in image?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any bear in image?,No,No
